,Song ID,asset_id,Title,songtrust_composer,youtube_writers
867257,2818894,A143006387605264,GEMOTIVEERD,TRIVELLATO,"GIORDANO TRIVELLATO, GIULIANO SACCHETTO, TOBACCO MUSIC EDITION"
867353,2387555,A655464265889808,GENERATION GENOCIDE,LUKIN/MCLAUGHLIN/PETERS/TURNER,LUKIN MATTHEW;MCLAUGHLIN MARK;PETERS DANIEL;TURNER STEVEN
867355,783541,A920850546087463,GENERATION LOST,ROBERTSON/COX,ROBERTSON/COX
867363,2387588,A351431279384463,GENERATION SPOKESMODEL,LUKIN/MCLAUGHLIN/PETERS/TURNER,LUKIN  MATTHEW D;MCLAUGHLIN  MARK T;PETERS  DANIEL JOE;TURNER  STEVEN NEIL
867440,2818899,A148426818125900,GENEROSITY,TRIVELLATO,"GIORDANO TRIVELLATO, GIULIANO SACCHETTO, TOBACCO MUSIC EDITION"
868363,2478860,A763037918697828,GENEVA,JONES/FERRARA/FARRELL/FERRARA,FARRELL ANDREW;FERRARA BRIAN;FERRARA JOHN;JONES GERALD
868456,2396665,A614727065936051,GENIE,SPUNT/RANDALL,DEAN ALLEN SPUNT;RANDY STEVEN RANDALL
868494,2374920,A116847431447262,GENIUS,"CLANTON, GEORGE",CLANTON GEORGE
868549,3137650,A133672060687406,GENTE DE DIOS,"GARCIA, EDGAR",A J R MUSICAL;GARCIA EDGAR ORTEGA
868560,2337811,A412089111905764,GENTLE,NOVARINA,NOVARINA RAPHAEL JOSEPH PATRICE
868587,2818928,A851056920168699,GENTLE AWAKENING,TRIVELLATO,"GIORDANO TRIVELLATO, TOBACCO MUSIC EDITION, SACCHETTO GIULIANO"
868593,3146348,A573710053122676,GENTLE BELLS,"TRIVELLATO, GIORDANO","GIORDANO TRIVELLATO, SACCHETTO GIULIANO, TOBACCO MUSIC EDITION"
868596,2818934,A878025053687179,GENTLE BELLS AND PIANO,TRIVELLATO,"GIORDANO TRIVELLATO, SACCHETTO GIULIANO, TOBACCO MUSIC EDITION"
868598,2818937,A457688946057838,GENTLE BREATHING,TRIVELLATO,"GIORDANO TRIVELLATO, SACCHETTO GIULIANO, TOBACCO MUSIC EDITION"
868601,3151407,A516299939782236,GENTLE BREEZE,"TRIVELLATO, GIORDANO",SACCHETTO GIULIANO/TRIVELLATO GIORDANO
868644,2818941,A537545551542697,GENTLE BREEZE (PILLOW MUSIC),TRIVELLATO,"GIORDANO TRIVELLATO, GIULIANO SACCHETTO, TOBACCO MUSIC EDITION"
868651,2818945,A317996362541813,GENTLE CARESS,TRIVELLATO,"GIORDANO TRIVELLATO, GIULIANO SACCHETTO, TOBACCO MUSIC EDITION"
868653,2818950,A607517181827864,GENTLE CLASSICAL INSTRUMENTAL PIANO MUSIC,TRIVELLATO,"GIORDANO TRIVELLATO, SACCHETTO GIULIANO"
868656,3139304,A520483643495953,GENTLE DANCE,"MICALLEF, JOSEPH",JOSEPH MICALLEF (ARRANGER)
868660,2818953,A434415724086309,GENTLE DREAM,TRIVELLATO,"GIORDANO TRIVELLATO, SACCHETTO GIULIANO, TOBACCO MUSIC EDITION"
868661,2818954,A721028948564211,GENTLE DRUM (STEADY BEAT FOR HATHA YOGA),TRIVELLATO,"GIORDANO TRIVELLATO, SACCHETTO GIULIANO"
868662,2818955,A106326703097850,GENTLE DRUM BEAT,TRIVELLATO,"GIORDANO TRIVELLATO, TOBACCO MUSIC EDITION, SACCHETTO GIULIANO"
868663,2818955,A514941851845209,GENTLE DRUM BEAT,TRIVELLATO,GIORDANO TRIVELLATO; SACCHETTO GIULIANO
868666,2818958,A655858013781728,GENTLE FALL OF RAIN,TRIVELLATO,"GIORDANO TRIVELLATO, SACCHETTO GIULIANO"
868670,2818965,A945023753508249,GENTLE FLUTE,TRIVELLATO,"GIORDANO TRIVELLATO, SACCHETTO GIULIANO"
868671,2818965,A128025851627145,GENTLE FLUTE,TRIVELLATO,"GIORDANO TRIVELLATO, SACCHETTO GIULIANO, TOBACCO MUSIC EDITION"
868678,2818972,A962782436105462,GENTLE GUITAR,TRIVELLATO,"GIORDANO TRIVELLATO, GIULIANO SACCHETTO"
868684,2818978,A652682300260169,GENTLE HARP MUSIC WITH OCEAN WAVES,TRIVELLATO,"GIORDANO TRIVELLATO, SACCHETTO GIULIANO"
868690,2818988,A608044528725313,GENTLE JUNGLE,TRIVELLATO,TRIVELLATO GIORDANO
868695,2818993,A936905647734412,GENTLE LULLABY,TRIVELLATO,"GIORDANO TRIVELLATO, SACCHETTO GIULIANO"
868702,2360437,A656863212113990,GENTLE MOUNTAIN CREEK SOUND EFFECTS FOR BABIES,TRIVELLATO,GIULIANO SACCHETTO-GIORDANO TRIVELLATO
868724,2819030,A841393802749338,GENTLE PEACEFUL MUSIC,TRIVELLATO,"GIORDANO TRIVELLATO, GIULIANO SACCHETTO, TOBACCO MUSIC EDITION"
868729,2819034,A903597909020533,GENTLE PIANO (THANKSGIVING),TRIVELLATO,"GIORDANO TRIVELLATO, GIULIANO SACCHETTO, TOBACCO MUSIC EDITION"
868732,2819038,A245079132444320,GENTLE PIANO MUSIC,TRIVELLATO,"GIORDANO TRIVELLATO, GIULIANO SACCHETTO, TOBACCO MUSIC EDITION"
868740,3139466,A930486841333419,GENTLE RADIANCE,"MICALLEF, JOSEPH",JOSEPH MICALLEF (ARRANGER)
868789,2819047,A634668352391678,GENTLE RAIN,TRIVELLATO,"GIORDANO TRIVELLATO, GIULIANO SACCHETTO, TOBACCO MUSIC EDITION"
868801,2819063,A166467126472792,GENTLE RAIN AND BIRDS,TRIVELLATO,"GIORDANO TRIVELLATO, TOBACCO MUSIC EDITION, SACCHETTO GIULIANO"
868805,2819070,A848678281838508,GENTLE RAIN DROPS (STORM SOUNDS),TRIVELLATO,"GIORDANO TRIVELLATO, GIULIANO SACCHETTO, TOBACCO MUSIC EDITION (GEMA)"
868809,2819074,A834900851383715,GENTLE RAIN FOR SLEEPING,TRIVELLATO,"G SACCHETTO, GIORDANO TRIVELLATO, TOBACCO MUSIC EDITION"
868814,2359893,A840348654068182,GENTLE RAIN SOUND WITH RELAXING PIANO MUSIC FOR SLEEPING BAB,TRIVELLATO,SACCHETTO G/TRIVELLATO G
